0,1,2,3,4,5,6,7,8,9,10,11,12,13
41.0,150346.0,0.387,0.41,11.0,-8.124,0.0,0.031,0.608,0.00589,0.102,0.149,117.391,4.0
27.0,245600.0,0.532,0.928,9.0,-1.963,0.0,0.0397,0.108,0.0291,0.201,0.808,113.927,3.0
45.0,145753.0,0.463,0.156,6.0,-13.416,1.0,0.189,0.89,0.0,0.115,0.478,180.191,4.0
43.0,200227.0,0.605,0.396,1.0,-7.586,1.0,0.0667,0.387,0.0,0.0556,0.325,132.08,4.0
41.0,222400.0,0.49,0.456,8.0,-9.767,1.0,0.0447,0.0156,0.0,0.0825,0.405,154.805,4.0
27.0,279386.0,0.422,0.248,8.0,-8.245,1.0,0.03,0.95,1.16e-06,0.325,0.219,134.042,4.0
39.0,219653.0,0.809,0.555,0.0,-5.689,1.0,0.0617,0.481,1.46e-06,0.133,0.473,104.085,4.0
52.0,201885.0,0.58,0.188,9.0,-9.34,1.0,0.0511,0.935,0.0,0.264,0.431,121.648,4.0
48.0,119423.0,0.676,0.118,7.0,-11.443,1.0,0.032,0.935,0.0,0.292,0.517,103.948,4.0
51.0,178615.0,0.456,0.134,4.0,-11.248,1.0,0.0364,0.976,2.25e-05,0.107,0.316,127.976,3.0
41.0,139612.0,0.287,0.245,11.0,-20.674,0.0,0.0493,0.915,0.836,0.112,0.624,84.056,4.0
52.0,219066.0,0.655,0.587,1.0,-8.736,1.0,0.045,0.26,6.07e-06,0.0953,0.521,91.494,4.0
27.0,319533.0,0.673,0.658,10.0,-8.864,0.0,0.0343,0.176,1.57e-05,0.08,0.863,97.989,4.0
45.0,198386.0,0.47,0.292,6.0,-9.899,0.0,0.0284,0.904,0.000104,0.0889,0.168,66.109,4.0
49.0,245653.0,0.652,0.586,1.0,-8.281,1.0,0.0402,0.469,0.0,0.0846,0.554,144.031,4.0
54.0,233488.0,0.601,0.372,3.0,-6.148,1.0,0.0292,0.835,0.0,0.129,0.444,146.086,4.0
43.0,188712.0,0.664,0.263,9.0,-7.988,1.0,0.0274,0.814,0.0,0.0817,0.371,96.214,4.0
48.0,241466.0,0.782,0.684,1.0,-5.774,1.0,0.0398,0.021,0.0,0.125,0.858,108.171,4.0
28.0,233306.0,0.488,0.627,0.0,-5.867,1.0,0.0534,0.416,0.0,0.103,0.757,118.434,4.0
60.0,206267.0,0.606,0.326,10.0,-10.031,1.0,0.0294,0.841,0.0,0.139,0.414,91.626,4.0
